tarih,islem,strateji,sembol,fiyat,miktar,tutar,ucret,kar_zarar,kar_zarar_yuzde,nakit,portfoy_degeri,sebep
2026-09-05 04:23:44,AL,SMA trend 100,BTC/USDT,79582.0,0.00149068,118.75,0.1187,,,881.25,999.88,sinyal
2026-09-05 04:23:44,AL,MA kesisme 50/200,ETH/USDT,2452.49,0.04871727,119.6,0.1196,,,761.65,999.74,sinyal
2026-09-05 04:23:44,AL,SMA trend 200,ZEC/USDT,1024.79,0.11755996,120.59,0.1206,,,641.06,999.59,sinyal
2026-09-05 04:23:45,AL,SMA trend 200,BNB/USDT,723.51,0.16817876,121.8,0.1218,,,519.26,999.39,sinyal
2026-09-05 04:23:45,AL,Donchian 55/20,PROM/USDT,5.126,24.03433507,123.32,0.1233,,,395.93,999.05,sinyal
2026-09-05 04:23:45,AL,Dusuk oynaklik,NEAR/USDT,2.225,56.29363369,125.38,0.1254,,,270.55,998.76,sinyal
2026-09-05 04:23:46,AL,Donchian 20/10,DASH/USDT,66.41,1.93321289,128.51,0.1285,,,142.04,998.35,sinyal
2026-09-05 04:23:46,AL,Fair Value Gap,ZKC/USDT,0.0501,2690.69664154,134.94,0.1349,,,7.1,998.89,sinyal
